timestamp,nfSetId,nfCpuUsage
2025-05-14T12:20:02Z,cgroup_machine_qemu_2_instance_0000356e_libvirt_qemu.cpu_per_core,22
2025-05-14T12:20:02Z,cgroup_machine_qemu_3_instance_00003572_libvirt_qemu.cpu_per_core,17
2025-05-14T12:20:02Z,cgroup_machine_qemu_3_instance_00003572_libvirt_qemu.cpu_per_core,1
2025-05-14T12:20:02Z,cgroup_machine_qemu_3_instance_00003572_libvirt_qemu.cpu_per_core,3
2025-05-14T12:20:02Z,cgroup_machine_qemu_3_instance_00003572_libvirt_qemu.cpu_per_core,12
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,34
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,57
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,83
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,44
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,18
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,33
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,79
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,86
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,34
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,111
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,61
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,4
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,32
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,22
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,8
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,65
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,87
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,4
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,146
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,3
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,46
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,19
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,1
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,38
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,12
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,10
2025-05-14T12:20:02Z,cgroup_machine_qemu_6_instance_000035c0_libvirt_qemu.cpu_per_core,8
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,408
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,364
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,48
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,18
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,11
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,21
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,287
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,1
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,38
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,37
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,115
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,185
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,77
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,22
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,8
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,4
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,28
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,25
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,382
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,1
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,42
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,49
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,1
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,33
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,1
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,51
2025-05-14T12:20:02Z,cgroup_machine_qemu_8_instance_000037b2_libvirt_qemu.cpu_per_core,3
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,4
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,2
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,549
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,321
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,48
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,22
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,62
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,104
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,84
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,6
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,64
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,1
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,79
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,6
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,5
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,4
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,36
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,110
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,14
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,2
2025-05-14T12:20:02Z,cgroup_machine_qemu_9_instance_00002756_libvirt_qemu.cpu_per_core,74
