timestamp,cpuUsage,memoryUsage,numOfUes,numOfPduSess,numOfExceedLoadLevelThr,exceedLoadLevelThrInd,resUsgThrCrossTimePeriod,confidence
2025-07-23T09:59:43.819Z,0,94,0,4,1,true,"",100,
2025-07-23T09:59:48.836Z,5,94,0,4,2,true,"[2025-07-23T09:59:43.819Z - 2025-07-23T09:59:48.836Z]",100,
2025-07-23T09:59:53.834Z,1,94,0,4,3,true,"[2025-07-23T09:59:48.836Z - 2025-07-23T09:59:53.834Z]",100,
2025-07-23T09:59:58.823Z,5,94,0,4,4,true,"[2025-07-23T09:59:53.834Z - 2025-07-23T09:59:58.823Z]",100,
2025-07-23T10:00:03.825Z,0,94,0,4,5,true,"[2025-07-23T09:59:58.823Z - 2025-07-23T10:00:03.825Z]",100,
2025-07-23T10:00:08.823Z,0,94,0,4,6,true,"[2025-07-23T10:00:03.825Z - 2025-07-23T10:00:08.823Z]",100,
2025-07-23T10:00:13.821Z,0,94,0,4,7,true,"[2025-07-23T10:00:08.823Z - 2025-07-23T10:00:13.821Z]",100,
2025-07-23T10:00:18.831Z,0,94,0,4,8,true,"[2025-07-23T10:00:13.821Z - 2025-07-23T10:00:18.831Z]",100,
2025-07-23T10:00:23.826Z,2,94,0,4,9,true,"[2025-07-23T10:00:18.831Z - 2025-07-23T10:00:23.826Z]",100,
2025-07-23T10:00:28.825Z,3,94,0,4,10,true,"[2025-07-23T10:00:23.826Z - 2025-07-23T10:00:28.825Z]",100,
2025-07-23T10:00:33.822Z,0,94,0,4,11,true,"[2025-07-23T10:00:28.825Z - 2025-07-23T10:00:33.822Z]",100,
2025-07-23T10:00:38.829Z,4,94,0,4,12,true,"[2025-07-23T10:00:33.822Z - 2025-07-23T10:00:38.829Z]",100,
2025-07-23T10:00:43.821Z,0,94,0,4,13,true,"[2025-07-23T10:00:38.829Z - 2025-07-23T10:00:43.821Z]",100,
2025-07-23T10:00:48.823Z,0,94,0,4,14,true,"[2025-07-23T10:00:43.821Z - 2025-07-23T10:00:48.823Z]",100,
2025-07-23T10:00:53.828Z,0,94,0,4,15,true,"[2025-07-23T10:00:48.823Z - 2025-07-23T10:00:53.828Z]",100,
2025-07-23T10:00:58.821Z,1,94,0,4,16,true,"[2025-07-23T10:00:53.828Z - 2025-07-23T10:00:58.821Z]",100,
2025-07-23T10:01:03.826Z,0,94,0,4,17,true,"[2025-07-23T10:00:58.821Z - 2025-07-23T10:01:03.826Z]",100,
2025-07-23T10:01:08.835Z,0,94,0,4,18,true,"[2025-07-23T10:01:03.826Z - 2025-07-23T10:01:08.835Z]",100,
2025-07-23T10:01:13.835Z,1,94,0,4,19,true,"[2025-07-23T10:01:08.835Z - 2025-07-23T10:01:13.835Z]",100,
2025-07-23T10:01:18.822Z,0,94,0,4,20,true,"[2025-07-23T10:01:13.835Z - 2025-07-23T10:01:18.822Z]",100,
2025-07-23T10:01:23.835Z,0,94,0,4,21,true,"[2025-07-23T10:01:18.822Z - 2025-07-23T10:01:23.835Z]",100,
2025-07-23T10:01:28.829Z,0,94,0,4,22,true,"[2025-07-23T10:01:23.835Z - 2025-07-23T10:01:28.829Z]",100,
2025-07-23T10:01:33.821Z,0,94,0,4,23,true,"[2025-07-23T10:01:28.829Z - 2025-07-23T10:01:33.821Z]",100,
2025-07-23T10:01:38.836Z,0,94,0,4,24,true,"[2025-07-23T10:01:33.821Z - 2025-07-23T10:01:38.836Z]",100,
2025-07-23T10:01:43.828Z,0,94,0,4,25,true,"[2025-07-23T10:01:38.836Z - 2025-07-23T10:01:43.828Z]",100,
2025-07-23T10:01:48.829Z,0,94,0,4,26,true,"[2025-07-23T10:01:43.828Z - 2025-07-23T10:01:48.829Z]",100,
