timestamp,nfCpuUsage
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,28
2025-05-21T10:43:11Z,2
2025-05-21T10:43:11Z,83
2025-05-21T10:43:11Z,788
2025-05-21T10:43:11Z,7
2025-05-21T10:43:11Z,13
2025-05-21T10:43:11Z,35
2025-05-21T10:43:11Z,37
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,278
2025-05-21T10:43:11Z,14
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,116
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,216
2025-05-21T10:43:11Z,217
2025-05-21T10:43:11Z,33
2025-05-21T10:43:11Z,62
2025-05-21T10:43:11Z,154
2025-05-21T10:43:11Z,13
2025-05-21T10:43:11Z,26
2025-05-21T10:43:11Z,23
2025-05-21T10:43:11Z,6
2025-05-21T10:43:11Z,3
2025-05-21T10:43:11Z,11
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,3
2025-05-21T10:43:11Z,2
2025-05-21T10:43:11Z,3
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,9
2025-05-21T10:43:11Z,2
2025-05-21T10:43:11Z,3
2025-05-21T10:43:11Z,32
2025-05-21T10:43:11Z,2
2025-05-21T10:43:11Z,7
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,6
2025-05-21T10:43:11Z,9
2025-05-21T10:43:11Z,9
2025-05-21T10:43:11Z,95
2025-05-21T10:43:11Z,43
2025-05-21T10:43:11Z,64
2025-05-21T10:43:11Z,34
2025-05-21T10:43:11Z,23
2025-05-21T10:43:11Z,20
2025-05-21T10:43:11Z,48
2025-05-21T10:43:11Z,7
2025-05-21T10:43:11Z,10
2025-05-21T10:43:11Z,12
2025-05-21T10:43:11Z,9
2025-05-21T10:43:11Z,18
2025-05-21T10:43:11Z,8
2025-05-21T10:43:11Z,36
2025-05-21T10:43:11Z,6
2025-05-21T10:43:11Z,10
2025-05-21T10:43:11Z,72
2025-05-21T10:43:11Z,122
2025-05-21T10:43:11Z,43
2025-05-21T10:43:11Z,118
2025-05-21T10:43:11Z,5
2025-05-21T10:43:11Z,63
2025-05-21T10:43:11Z,12
2025-05-21T10:43:11Z,19
2025-05-21T10:43:11Z,26
2025-05-21T10:43:11Z,53
2025-05-21T10:43:11Z,256
2025-05-21T10:43:11Z,311
2025-05-21T10:43:11Z,203
2025-05-21T10:43:11Z,30
2025-05-21T10:43:11Z,49
2025-05-21T10:43:11Z,136
2025-05-21T10:43:11Z,3
2025-05-21T10:43:11Z,283
2025-05-21T10:43:11Z,36
2025-05-21T10:43:11Z,117
2025-05-21T10:43:11Z,397
2025-05-21T10:43:11Z,109
2025-05-21T10:43:11Z,78
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,2
2025-05-21T10:43:11Z,2
2025-05-21T10:43:11Z,41
2025-05-21T10:43:11Z,2
2025-05-21T10:43:11Z,4
2025-05-21T10:43:11Z,10
2025-05-21T10:43:11Z,53
2025-05-21T10:43:11Z,4
2025-05-21T10:43:11Z,46
2025-05-21T10:43:11Z,148
2025-05-21T10:43:11Z,73
2025-05-21T10:43:11Z,28
2025-05-21T10:43:11Z,25
2025-05-21T10:43:11Z,16
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,2
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,43
2025-05-21T10:43:11Z,21
2025-05-21T10:43:11Z,30
2025-05-21T10:43:11Z,2
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,17
2025-05-21T10:43:11Z,4
2025-05-21T10:43:11Z,14
2025-05-21T10:43:11Z,44
2025-05-21T10:43:11Z,38
2025-05-21T10:43:11Z,79
2025-05-21T10:43:11Z,140
2025-05-21T10:43:11Z,116
2025-05-21T10:43:11Z,11
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,79
2025-05-21T10:43:11Z,13
2025-05-21T10:43:11Z,105
2025-05-21T10:43:11Z,12
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,2
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,2
2025-05-21T10:43:11Z,7
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,9
2025-05-21T10:43:11Z,153
2025-05-21T10:43:11Z,177
2025-05-21T10:43:11Z,2
2025-05-21T10:43:11Z,160
2025-05-21T10:43:11Z,21
2025-05-21T10:43:11Z,60
2025-05-21T10:43:11Z,78
2025-05-21T10:43:11Z,77
2025-05-21T10:43:11Z,28
2025-05-21T10:43:11Z,64
2025-05-21T10:43:11Z,3
2025-05-21T10:43:11Z,4
2025-05-21T10:43:11Z,1
2025-05-21T10:43:11Z,7
2025-05-21T10:43:11Z,45
