timestamp,cpuUsage,memoryUsage,numOfUes,numOfPduSess,numOfExceedLoadLevelThr,exceedLoadLevelThrInd,resUsgThrCrossTimePeriod,confidence
2025-07-23T11:08:38.618Z,0,94,1,7,46,true,"[2025-07-23T11:08:33.616Z - 2025-07-23T11:08:38.618Z]",100,
2025-07-23T11:08:43.623Z,3,94,1,7,47,true,"[2025-07-23T11:08:38.618Z - 2025-07-23T11:08:43.623Z]",100,
2025-07-23T11:08:48.613Z,0,94,1,7,48,true,"[2025-07-23T11:08:43.623Z - 2025-07-23T11:08:48.613Z]",100,
2025-07-23T11:08:53.616Z,1,94,1,7,49,true,"[2025-07-23T11:08:48.613Z - 2025-07-23T11:08:53.616Z]",100,
2025-07-23T11:08:58.625Z,0,94,1,7,50,true,"[2025-07-23T11:08:53.616Z - 2025-07-23T11:08:58.625Z]",100,
2025-07-23T11:09:03.622Z,3,94,1,7,51,true,"[2025-07-23T11:08:58.625Z - 2025-07-23T11:09:03.622Z]",100,
2025-07-23T11:09:08.621Z,2,94,1,7,52,true,"[2025-07-23T11:09:03.622Z - 2025-07-23T11:09:08.621Z]",100,
2025-07-23T11:09:13.613Z,5,94,1,7,53,true,"[2025-07-23T11:09:08.621Z - 2025-07-23T11:09:13.613Z]",100,
2025-07-23T11:09:18.621Z,0,94,1,7,54,true,"[2025-07-23T11:09:13.613Z - 2025-07-23T11:09:18.621Z]",100,
2025-07-23T11:09:23.626Z,0,94,1,7,55,true,"[2025-07-23T11:09:18.621Z - 2025-07-23T11:09:23.626Z]",100,
2025-07-23T11:09:28.617Z,4,94,1,7,56,true,"[2025-07-23T11:09:23.626Z - 2025-07-23T11:09:28.617Z]",100,
2025-07-23T11:09:33.626Z,1,94,1,7,57,true,"[2025-07-23T11:09:28.617Z - 2025-07-23T11:09:33.626Z]",100,
2025-07-23T11:09:38.614Z,6,94,1,7,58,true,"[2025-07-23T11:09:33.626Z - 2025-07-23T11:09:38.614Z]",100,
2025-07-23T11:09:43.622Z,0,94,1,7,59,true,"[2025-07-23T11:09:38.614Z - 2025-07-23T11:09:43.622Z]",100,
2025-07-23T11:09:48.614Z,0,94,1,7,60,true,"[2025-07-23T11:09:43.622Z - 2025-07-23T11:09:48.614Z]",100,
